worker_id,episode,reward,win,win_rate,avg_loss,timestamp
2,1,-4.346749999999999,0,0.0,0.0,1768525755.459446
2,2,-6.673,0,0.0,0.0,1768525755.4654303
1,1,-4.8420000000000005,0,0.0,0.0,1768525756.017039
1,2,-4.4135,0,0.0,0.0,1768525756.022891
3,1,-4.747,0,0.0,0.0,1768525756.1188853
3,2,-4.97825,0,0.0,0.0,1768525756.1250753
0,1,-6.104,0,0.0,0.0,1768525756.5428796
0,2,-3.4407500000000004,0,0.0,0.0,1768525756.54817
2,3,-5.0055000000000005,0,0.0,0.0,1768525758.7547932
2,4,-5.88475,0,0.0,0.0,1768525758.759733
1,3,-4.88275,0,0.0,0.0,1768525759.2421262
1,4,-5.0915,0,0.0,0.0,1768525759.2488053
3,3,-2.713,0,0.0,0.0,1768525759.415776
3,4,-4.60275,0,0.0,0.0,1768525759.4214804
0,3,-4.8125,0,0.0,0.0,1768525759.827306
0,4,-4.9037500000000005,0,0.0,0.0,1768525759.8329642
2,5,-4.8795,0,0.0,0.0,1768525762.2912157
2,6,-4.7010000000000005,0,0.0,0.0,1768525762.3082469
3,5,-5.0015,0,0.0,0.0,1768525762.6956096
3,6,-4.07925,0,0.0,0.0,1768525762.7079763
1,5,-4.11325,0,0.0,0.0,1768525762.7363405
1,6,-3.9170000000000003,0,0.0,0.0,1768525762.7517693
0,5,-3.70175,0,0.0,0.0,1768525763.33687
0,6,-5.5169999999999995,0,0.0,0.0,1768525763.3555918
2,7,-6.163749999999999,0,0.0,0.0,1768525765.827676
2,8,-6.73075,0,0.0,0.0,1768525765.8411777
3,7,-4.5329999999999995,0,0.0,0.0,1768525766.1937947
3,8,-3.16575,0,0.0,0.0,1768525766.2048936
1,7,-4.9565,0,0.0,0.0,1768525766.2315633
1,8,-5.2379999999999995,0,0.0,0.0,1768525766.2472181
0,7,-4.351999999999999,0,0.0,0.0,1768525766.6690402
0,8,-6.058,0,0.0,0.0,1768525766.6813915
2,9,-4.068499999999999,0,0.0,0.0,1768525769.3047218
2,10,-5.642,0,0.0,0.0,1768525769.3176484
3,9,-5.1225,0,0.0,0.0,1768525769.723384
3,10,-4.27075,0,0.0,0.0,1768525769.7375064
1,9,-5.55125,0,0.0,0.0,1768525769.786109
1,10,-4.931,0,0.0,0.0,1768525769.799641
0,9,-6.64025,0,0.0,0.0,1768525770.1109047
0,10,-3.9515000000000002,0,0.0,0.0,1768525770.12585
2,1,-3.3782499999999995,0,0.0,0.0,1768531727.2646203
2,2,-5.7565,0,0.0,0.0,1768531727.2700734
1,1,-4.642,0,0.0,0.0,1768531727.3571653
1,2,-4.642,0,0.0,0.0,1768531727.3628452
3,1,-3.9767500000000005,0,0.0,0.0,1768531727.646197
3,2,-5.17575,0,0.0,0.0,1768531727.6511707
0,1,-5.71625,0,0.0,0.0,1768531728.0207484
0,2,-3.2782500000000008,0,0.0,0.0,1768531728.026517
